Time,asks,bids,price
2019-05-27 02:00:00 UTC,12990045.84,13118578.48,8767.276111
2019-05-27 03:00:00 UTC,13248920.59,13695827.05,8776.512778
2019-05-27 04:00:00 UTC,13868060.82,14841678.27,8740.573333
2019-05-27 05:00:00 UTC,13768862.53,15638608.87,8740.622647
2019-05-27 06:00:00 UTC,14250672.59,15885972.38,8751.81
2019-05-27 07:00:00 UTC,14296768.79,15323803.83,8786.123611
2019-05-27 08:00:00 UTC,14454711.98,16024198.74,8748.715833
2019-05-27 09:00:00 UTC,14532302.01,16363392.73,8754.8475
2019-05-27 10:00:00 UTC,14786252.18,16670887.14,8740.4575
2019-05-27 11:00:00 UTC,14952969.85,16361840.37,8716.694722
2019-05-27 12:00:00 UTC,15116328.01,14347877.32,8804.988056
2019-05-27 13:00:00 UTC,15484977.57,14054390.68,8822.905833
2019-05-27 14:00:00 UTC,15809322.3,14289688.21,8799.326389
2019-05-27 15:00:00 UTC,15903198.14,13876804.09,8847.363611
2019-05-27 16:00:00 UTC,15558017.62,13676467.88,8845.421471
2019-05-27 17:00:00 UTC,15282837.5,15107018.22,8729.325278
2019-05-27 18:00:00 UTC,16106522.86,14990782.23,8751.308611
2019-05-27 19:00:00 UTC,16452564.27,14240800.88,8807.357222
2019-05-27 20:00:00 UTC,16468106.94,15716605.12,8770.687778
2019-05-27 21:00:00 UTC,16894844.74,15540863.81,8776.727778
2019-05-27 22:00:00 UTC,17038625.03,14867117.08,8796.169167
2019-05-27 23:00:00 UTC,17310593.13,14899509.98,8821.493333
2019-05-28 00:00:00 UTC,17144443.1,15838561.4,8780.946389
2019-05-28 01:00:00 UTC,16616313.65,15120217.03,8783.738889
2019-05-28 02:00:00 UTC,16931111.34,14629907.42,8801.707941
2019-05-28 03:00:00 UTC,17604157.28,14896526.15,8778.790833
2019-05-28 04:00:00 UTC,17832679.41,14952439.3,8793.995833
2019-05-28 05:00:00 UTC,17778153.95,15620557.12,8770.0575
2019-05-28 06:00:00 UTC,17560664.95,15721840.58,8733.895278
2019-05-28 07:00:00 UTC,17569881.86,15812330.51,8722.403889
2019-05-28 08:00:00 UTC,17643060.71,16209903.67,8719.991905
2019-05-28 09:00:00 UTC,17610330.95,15555892.71,8730.205
2019-05-28 10:00:00 UTC,17337035.86,16033478.29,8698.276667
2019-05-28 11:00:00 UTC,17571161.27,16096117.24,8720.473056
2019-05-28 12:00:00 UTC,17335749.68,16035817.8,8728.903889
2019-05-28 13:00:00 UTC,16703079.56,16548337.67,8675.590556
2019-05-28 14:00:00 UTC,17241224.16,16224690.7,8681.231765
2019-05-28 15:00:00 UTC,17539725.68,16405467.29,8692.848611
2019-05-28 16:00:00 UTC,16816357.27,17153026.56,8668.941667
2019-05-28 17:00:00 UTC,17002599.56,16350879.81,8718.9125
