Time,bit-x,bitbay,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken
2019-05-24 07:00:00 UTC,2.163916594,,0.002625316,0.052192833,0.10519628,0.007282278,0.207223226,0.038290853,0.021941799,0.032453246
2019-05-24 08:00:00 UTC,1.425517265,,0.008810489,0.039621177,0.069386969,0.006814146,0.112246139,0.022085889,0.027112518,0.038199779
2019-05-24 09:00:00 UTC,0.642837583,0.305381759,0.009892376,0.041741923,0.124990037,0.010152384,0.108255406,0.017130585,0.022476619,0.019338475
2019-05-24 10:00:00 UTC,1.538577163,,0.006501909,0.079761731,0.078207756,0.012709434,0.169687135,0.018075797,0.026051749,0.038747323
2019-05-24 11:00:00 UTC,2.220468273,0.02700782,0.006148108,0.065392363,0.102844265,0.010908795,0.157982316,0.016365951,0.010636438,0.03218329
2019-05-24 12:00:00 UTC,2.192394796,,0.003293086,0.041448661,0.131288584,0.011089397,0.283479632,0.008574423,0.016104648,0.016910126
2019-05-24 13:00:00 UTC,2.186052948,0.327436565,0.00606719,0.050668779,0.110107414,0.012726486,0.257530554,0.013691962,0.018488096,0.014797962
2019-05-24 14:00:00 UTC,2.217814329,,0.004992948,0.043432491,0.122997029,0.010122371,0.229693676,0.021154433,0.012720794,0.00975871
2019-05-24 15:00:00 UTC,2.069166721,0.361873499,0.007766654,0.030015934,0.037763576,0.015023461,0.205221161,0.016462817,0.014121606,0.01048585
2019-05-24 16:00:00 UTC,1.799420012,,0.009926469,0.029072136,0.072998296,0.022510758,0.127958715,0.016322055,0.024307217,0.016173645
2019-05-24 17:00:00 UTC,2.2309967,0.245633895,0.007202088,0.077593453,0.06775196,0.013410863,0.374613194,0.047510035,0.039887611,0.017513964
2019-05-24 18:00:00 UTC,2.236413006,,0.009176806,0.077402723,0.085122895,0.007910544,0.360074563,0.03564762,0.019071656,0.029109086
2019-05-24 19:00:00 UTC,2.207416113,0.27252608,0.005280551,0.043117202,0.102855005,0.006205308,0.217107058,0.019704199,0.017069025,0.013042334
2019-05-24 20:00:00 UTC,1.068569041,,0.005909346,0.047793793,0.117381741,0.004524794,0.200938153,0.028201694,0.010564336,0.014003506
2019-05-24 21:00:00 UTC,1.893346467,1.540951068,0.012941472,0.053362918,0.13544535,0.015911107,0.393060843,0.067697663,0.05916503,0.02421006
2019-05-24 22:00:00 UTC,2.231434342,,0.006925776,0.0730425,0.103635017,0.006054091,0.271523155,0.104915592,0.031536187,0.016033205
2019-05-24 23:00:00 UTC,1.845873213,1.802897253,0.004876006,0.080940528,0.131597901,0.006539807,0.268343881,0.102144111,0.030456165,0.023362914
2019-05-25 00:00:00 UTC,1.998502851,,0.004110346,0.067878586,0.129416476,0.016932912,0.405502818,0.088244415,0.057773312,0.034684799
2019-05-25 01:00:00 UTC,2.18605151,0.980553449,0.005106787,0.06514596,0.079271766,0.013225158,0.399622635,0.097273742,0.027216354,0.021347069
2019-05-25 02:00:00 UTC,2.247367007,,0.002294085,0.091204789,0.068208175,0.014191475,0.519850911,0.089495464,0.035761999,0.017313521
2019-05-25 03:00:00 UTC,2.212155825,1.267037843,0.001849527,0.099183768,0.102691391,0.00963311,0.533393645,0.094871437,0.035041124,0.028668534
2019-05-25 04:00:00 UTC,2.214219337,,0.002473955,0.071924239,0.074902459,0.002584877,0.444616133,0.076260339,0.034015604,0.037281234
2019-05-25 05:00:00 UTC,1.93501827,2.059570447,0.001251394,0.073112835,0.048854119,0.004881833,0.441433595,0.050089942,0.04141167,0.043674162
2019-05-25 06:00:00 UTC,1.792090528,,0.003257178,0.084344806,0.109856088,0.006217765,0.141831772,0.075958253,0.049835265,0.022735751
2019-05-25 07:00:00 UTC,1.759816016,1.776178501,0.002759022,0.088460562,0.079830295,0.014597128,0.132696421,0.055280129,0.038613427,0.035179428
2019-05-25 08:00:00 UTC,1.994106719,,0.003671217,0.060201183,0.1128057,0.004686259,0.1802226,0.042519425,0.027317168,0.02249239
2019-05-25 09:00:00 UTC,2.238580331,1.11159759,0.003695849,0.090085993,0.081180324,0.004988337,0.252316221,0.08300423,0.052541703,0.023931673
2019-05-25 10:00:00 UTC,2.263628135,,0.005578013,0.081557944,0.108543319,0.017693347,0.14549955,0.081840555,0.047789116,0.016455666
