Time,bit-x,bitfinex,bitflyer,bithumb,bitstamp,coinbase,exmo,gemini,kraken,others
2019-06-02 14:00:00 UTC,5.583333333333333,38.916666666666664,17.5,12.75,18.916666666666668,52.65,5.1,3.033333333333333,22.766666666666666,12.666666666666668
2019-06-02 15:00:00 UTC,5.45,28.6,12.066666666666666,8.583333333333334,21.533333333333335,50.65,4.95,1.7333333333333334,25.666666666666668,11.8
2019-06-02 16:00:00 UTC,5.233333333333333,32.36666666666667,9.2,9.883333333333333,12.033333333333333,50.21666666666667,5.783333333333333,1.9,19.483333333333334,12.616666666666667
2019-06-02 17:00:00 UTC,5.483333333333333,42.4,8.4,4.716666666666667,13.95,54.916666666666664,5.683333333333334,2.0166666666666666,27.366666666666667,14.716666666666669
2019-06-02 18:00:00 UTC,4.833333333333333,31.283333333333335,8.3,7.1,14.0,51.43333333333333,5.6,2.25,24.733333333333334,14.250000000000002
2019-06-02 19:00:00 UTC,5.166666666666667,25.45,6.8,3.6333333333333333,10.8,49.1,4.85,1.8166666666666667,18.883333333333333,9.983333333333333
2019-06-02 20:00:00 UTC,5.416666666666667,44.416666666666664,9.733333333333333,3.283333333333333,13.883333333333333,53.8,3.566666666666667,1.8833333333333333,20.683333333333334,11.799999999999999
2019-06-02 21:00:00 UTC,5.283333333333333,29.45,9.066666666666666,4.366666666666667,12.283333333333333,50.6,3.75,2.1,26.65,12.183333333333332
2019-06-02 22:00:00 UTC,5.466666666666667,39.05,17.65,8.983333333333333,14.233333333333333,52.81666666666667,3.466666666666667,4.133333333333333,27.05,12.633333333333333
2019-06-02 23:00:00 UTC,5.466666666666667,20.583333333333332,13.316666666666666,11.483333333333333,13.483333333333333,53.583333333333336,3.066666666666667,2.933333333333333,15.233333333333333,11.650000000000002
2019-06-03 00:00:00 UTC,5.016666666666667,57.083333333333336,17.85,19.716666666666665,19.083333333333332,50.916666666666664,5.116666666666667,3.5833333333333335,21.85,14.533333333333335
2019-06-03 01:00:00 UTC,5.633333333333333,44.96666666666667,23.35,15.983333333333333,18.566666666666666,57.05,3.033333333333333,3.533333333333333,19.5,16.7
2019-06-03 02:00:00 UTC,5.616666666666667,33.43333333333333,15.85,23.466666666666665,15.85,47.21666666666667,6.966666666666667,3.2,17.016666666666666,19.96666666666667
2019-06-03 03:00:00 UTC,5.633333333333333,28.183333333333334,20.666666666666668,18.666666666666668,13.333333333333334,33.95,3.683333333333333,3.15,11.766666666666667,14.616666666666667
2019-06-03 04:00:00 UTC,5.55,13.733333333333333,20.5,12.433333333333334,13.783333333333333,30.666666666666668,4.516666666666667,2.933333333333333,10.966666666666667,14.766666666666667
2019-06-03 05:00:00 UTC,5.433333333333334,63.05,33.86666666666667,20.916666666666668,22.6,51.96666666666667,10.95,4.516666666666667,38.3,24.250000000000004
2019-06-03 06:00:00 UTC,4.916666666666667,54.96666666666667,37.55,32.75,33.483333333333334,68.31666666666666,13.933333333333334,5.6,44.4,31.583333333333332
2019-06-03 07:00:00 UTC,5.383333333333333,89.03333333333333,46.53333333333333,53.06666666666667,49.43333333333333,100.13333333333334,17.616666666666667,10.016666666666667,80.18333333333334,47.3
2019-06-03 08:00:00 UTC,5.1,32.25,23.95,15.566666666666666,26.233333333333334,44.03333333333333,9.15,2.1333333333333333,32.88333333333333,18.416666666666668
2019-06-03 09:00:00 UTC,5.25,40.68333333333333,23.916666666666668,11.933333333333334,27.266666666666666,47.0,11.0,1.7333333333333334,42.28333333333333,20.016666666666666
2019-06-03 10:00:00 UTC,5.133333333333333,40.483333333333334,22.75,13.733333333333333,26.55,42.46666666666667,8.183333333333334,1.2666666666666666,34.666666666666664,15.55
2019-06-03 11:00:00 UTC,5.6,31.066666666666666,17.683333333333334,14.733333333333333,22.716666666666665,47.11666666666667,6.233333333333333,2.65,29.783333333333335,18.816666666666666
2019-06-03 12:00:00 UTC,5.666666666666667,56.13333333333333,23.033333333333335,16.066666666666666,31.266666666666666,54.68333333333333,8.066666666666666,2.85,37.31666666666667,19.883333333333333
2019-06-03 13:00:00 UTC,5.183333333333334,49.88333333333333,23.133333333333333,17.916666666666668,33.38333333333333,64.86666666666666,6.55,4.666666666666667,40.6,20.750000000000004
2019-06-03 14:00:00 UTC,5.266666666666667,115.88333333333334,32.75,20.216666666666665,38.1,101.03333333333333,14.7,6.466666666666667,58.71666666666667,33.68333333333333
2019-06-03 15:00:00 UTC,5.05,64.73333333333333,26.633333333333333,16.6,44.733333333333334,97.63333333333334,11.25,5.816666666666666,53.31666666666667,31.75
2019-06-03 16:00:00 UTC,5.25,57.666666666666664,14.433333333333334,10.966666666666667,23.883333333333333,69.63333333333334,7.95,6.116666666666667,35.983333333333334,20.333333333333336
2019-06-03 17:00:00 UTC,4.866666666666667,42.266666666666666,10.466666666666667,8.916666666666666,19.55,68.93333333333334,4.333333333333333,6.633333333333333,25.216666666666665,20.1
2019-06-03 18:00:00 UTC,5.683333333333334,49.7,12.916666666666666,8.683333333333334,23.35,67.75,6.8,7.566666666666666,32.78333333333333,19.35
