bit-x,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken,asks,bids,bit-x,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken,bit-x,bitfinex,bitflyer,bithumb,bitstamp,coinbase,exmo,gemini,kraken,others,bit-x,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken,bit-x,bitbay,bitfinex,bitflyer,bithumb,bitstamp,coinbase,gemini,kraken,others
2.131341449,0.004497124,0.094239399,0.14441802199999998,0.023178862999999997,0.209658382,0.12369956300000001,0.069305836,0.024576935,16394178.44,6874335.8270000005,7928.41325581395,7926.982722148829,7931.61450819673,7949.70952380952,7930.6820177664795,7809.14285514836,7929.9776190476205,7927.3006756756795,7928.019452887529,2.783333333333333,36.55,27.0,13.066666666666665,15.916666666666664,59.71666666666667,6.666666666666668,1.4,26.91666666666667,24.583333333333336,13.160970749298999,12.5236056518133,13.004867949175699,13.286710730762598,13.459564990704598,12.1182033712251,16.7513103688086,16.881029096972302,12.8743495129137,261.3033,200.10559168,280.16779103,218.72787630000002,185.51705911,186.03016391,481.396623610001,14.478592317999999,306.76195362,205.908087937373
2.1441173669999998,0.0050753790000000005,0.073070644,0.137635386,0.01821004,0.163102169,0.10028525699999999,0.055806874000000006,0.02884706,17289810.15,7507839.267999999,7944.99807692308,7954.214206449441,7947.72633986927,7964.07529411765,7948.465586053399,7834.357321693509,7950.37339285715,7963.642857142859,7954.51353383458,2.45,43.63333333333333,21.95,12.55,14.6,64.11666666666666,7.3,1.8666666666666667,26.53333333333333,24.8,18.875576180803602,27.464378569599198,27.957828913445102,15.0479780791312,22.833416913805298,23.5697281926355,22.9404919371851,26.4309685714326,24.8001496935399,225.3834,142.29885378,369.07825824999804,150.95752827,162.67275084,312.38904371,613.160206269999,16.9688772435,215.58180778,241.82812900422212
2.080753571,0.004175272,0.06523653,0.120497165,0.016037894,0.172926603,0.115153181,0.075165925,0.028854328999999998,18164691.54,8188558.342,7945.3714285714295,7940.111412797941,7938.55667586208,7962.29677419355,7941.06052190123,7838.28417699631,7947.4064935065,7945.2806122449,7938.9225669957805,2.4833333333333334,45.53333333333333,23.08333333333333,12.35,17.0,78.68333333333334,8.316666666666666,2.566666666666667,31.716666666666665,22.11666666666667,27.6455007010104,25.328881307639197,25.1066274654242,18.255921721831502,21.7777864104436,28.3312646168851,25.3853659536479,24.684511017181897,22.6609864963397,256.7512,156.29614836,468.40134691999197,195.08383587,134.39317455,268.685599280001,659.774791439998,28.754613160999998,353.88606508,184.14954796172532
2.112148598,0.005987209,0.085042434,0.12951522699999998,0.01104052,0.230256568,0.112925875,0.071043066,0.032252513999999996,18117562.16,7968643.77,7958.9880769230795,7984.68536635391,7976.148048469399,8003.65405405405,7977.24652661871,7861.478579495671,7981.915965909091,7975.72619047619,7982.193085106371,2.4833333333333334,48.93333333333333,20.816666666666666,9.216666666666667,18.383333333333333,89.38333333333334,11.366666666666667,2.933333333333333,42.55,23.01666666666667,21.6325894927993,24.709173222550103,23.2177136466184,22.8090085222588,21.591558501427397,17.606812110397602,25.303522309826,21.5021668130372,22.840594646248604,235.3507,162.96539907,400.126241319992,173.92763462,126.67122544,561.57480698,787.024101189998,47.1340744155,635.781108909999,224.84166309241508
2.206276309,0.0026294,0.11205922300000001,0.15637658599999998,0.006994164000000001,0.14633690900000002,0.090678403,0.051392034,0.027970197000000002,18156881.05,8159713.083,7981.54666666667,7989.65660000859,7981.81751807228,8003.705357142859,7984.85202723145,7853.41650988726,7985.907572815529,7982.77659574468,7981.506796116509,2.3833333333333333,17.916666666666668,7.2666666666666675,3.533333333333333,10.083333333333334,65.08333333333333,6.966666666666668,1.7166666666666668,20.1,15.666666666666664,6.5058491606712,6.54403897176221,7.76937460093287,9.74745504552759,6.8354426307467495,7.442430715464241,7.25212457131341,8.686920772456599,8.497894256621692,212.7317,194.81869599,153.22898610000098,48.67466367000011,34.40022179,107.95142937,412.9532857,23.500088993000002,194.99091621,100.3729502966665
2.101644367,0.006814458000000001,0.089264506,0.180487225,0.0060900369999999995,0.17003356600000002,0.08535076,0.05365864099999999,0.025219707,18222840.85,8389222.648,8003.10047619047,8023.46849333612,8011.77704668838,8010.826436781609,8005.068496791941,7875.42539592229,8017.05880733947,8010.458041958041,8019.090038022809,2.4,57.26666666666666,24.35,8.816666666666666,23.05,97.95,8.183333333333334,5.45,53.45,24.266666666666666,25.207681067388897,29.9186449295527,36.55180103503879,20.1214363296803,31.178961897869396,25.576108197144197,41.1572281469192,34.6843790438895,40.9804339446082,212.7264,105.34209735,890.0746827999901,266.89401101,118.79236573,543.75077426,1157.04090144,109.8324262101,874.81214345,261.4060929646011
2.110802987,0.004146615,0.103046779,0.168414147,0.020337056000000003,0.186352105,0.11532431800000001,0.067071328,0.021066783999999998,18623070.06,8364730.427,7975.37285714285,7967.27404940492,7978.210454545459,7980.67118644068,7978.66552145413,7851.0254646903795,7971.9050420168005,7970.768292682929,7979.302576808721,2.6166666666666667,42.03333333333333,21.33333333333333,7.85,14.666666666666664,80.43333333333334,7.55,1.9833333333333332,42.15,15.816666666666668,22.262441410446602,30.4128683992517,31.118200697799804,20.6663482161872,28.138833543847298,20.9403772141377,37.311873328824795,31.3371926334052,36.236795532718396,241.7989,110.17960937,515.4484113899849,232.90073687,107.11354293,320.82094147,688.374490719998,24.0089597688,651.99687771,168.6011306398163
2.180901949,0.006087879,0.08925757,0.203263138,0.023971837000000003,0.163286284,0.092407095,0.039529867,0.02119738,18730274.86,8553588.938,8053.085,8058.914125795191,8057.409368770759,8055.19047619048,8056.51088139285,7909.875377346959,8062.60138686131,8057.559090909091,8072.645230769201,2.4833333333333334,52.41666666666666,27.13333333333333,10.183333333333334,20.1,85.1,8.916666666666666,2.283333333333333,54.78333333333333,21.33333333333333,22.0848578083102,22.259102853147102,18.619845033492002,19.0877403445664,16.2076870703663,13.0796093936811,16.65549067,15.466433460014802,21.644640028401,213.5393,87.77594504,319.20111437999697,235.05034262,193.6627366,415.55958388,788.297915059998,17.8305794285,1248.88266081,183.72358950740502
1.8321928280000002,0.011252235,0.076325231,0.200951397,0.013817956000000001,0.226665079,0.069503112,0.058933025,0.027557577000000003,18227409.73,8238030.554,8127.57342857143,8143.918693687621,8162.5372285464,8154.169111969109,8152.16109013912,7964.6048897329,8172.442489510459,8169.025345622121,8159.577792553209,2.6,112.33333333333331,84.7,37.56666666666667,49.31666666666667,174.26666666666668,16.616666666666667,11.916666666666664,94.96666666666668,49.75,75.11154493145791,51.463971075223895,58.5509023695169,57.8916213060839,67.8050758799655,42.372015756428794,59.1795153368824,64.39102140075721,63.4567103256493,226.2652,197.96432195,2173.2041659800398,929.344426779993,589.7714543,1124.8261515599902,2781.38856131,269.1800208702,2308.84340705999,586.2453723615901
1.5609486830000001,0.012794633,0.074248863,0.21487742,0.023953763,0.25114739399999997,0.06997197200000001,0.050354445,0.035850811,16754286.86,6665070.978999999,8239.989375,8222.91420540139,8242.1955803788,8223.31052631579,8239.197545045121,8033.81539608677,8249.18554323727,8244.98634812287,8238.00212314227,2.7333333333333334,99.31666666666666,68.45,42.016666666666666,42.85,153.03333333333333,11.1,7.5166666666666675,81.03333333333333,48.25,32.7706481544747,27.0109281236754,29.7523319618922,26.0680143102811,31.9203705064725,16.8254354084021,31.5223724372836,30.5343925444158,30.4192834806239,241.33599999999998,326.22550758,1478.0679940800198,805.799568069987,706.318324960003,1745.35743444,2129.75452337999,164.3928537894,2158.4379433099803,547.009502335463
